"ID","Name","AWt","forSrc","Fld","Ident"
1,"H",1.0079400539398193,false,"1","H"
2,"He",4.0026021003723145,false,"2","He"
3,"Li",6.940999984741211,true,"3","Li"
4,"Be",9.012182235717773,true,"4","Be"
5,"B",10.810999870300293,true,"5","B"
6,"C",12.01099967956543,false,"6","C"
7,"N",14.006739616394043,false,"7","N"
8,"O",15.99940013885498,true,"8","O"
9,"F",18.998403549194336,false,"9","F"
10,"Ne",20.17970085144043,false,"10","Ne"
11,"Na",22.98976707458496,true,"11","Na"
12,"Mg",24.30500030517578,true,"12","Mg"
13,"Al",26.981538772583008,true,"13","Al"
14,"Si",28.085500717163086,true,"14","Si"
15,"P",30.97376251220703,true,"15","P"
16,"S",32.066001892089844,true,"16","S"
17,"Cl",35.452701568603516,false,"17","Cl"
18,"Ar",39.948001861572266,false,"18","Ar"
19,"K",39.09830093383789,true,"19","K"
20,"Ca",40.077999114990234,true,"20","Ca"
21,"Sc",44.955909729003906,true,"21","Sc"
22,"Ti",47.880001068115234,true,"22","Ti"
23,"V",50.94150161743164,true,"23","V"
24,"Cr",51.99610137939453,true,"24","Cr"
25,"Mn",54.93804931640625,true,"25","Mn"
26,"Fe",55.84700012207031,true,"26","Fe"
27,"Co",58.93320083618164,true,"27","Co"
28,"Ni",58.689998626708984,true,"28","Ni"
29,"Cu",63.54600143432617,true,"29","Cu"
30,"Zn",65.38999938964844,true,"30","Zn"
31,"Ga",69.7229995727539,true,"31","Ga"
32,"Ge",72.61000061035156,true,"32","Ge"
33,"As",74.92159271240234,true,"33","As"
34,"Se",78.95999908447266,true,"34","Se"
35,"Br",79.90399932861328,false,"35","Br"
36,"Kr",83.80000305175781,false,"36","Kr"
37,"Rb",85.4677963256836,true,"37","Rb"
38,"Sr",87.62000274658203,true,"38","Sr"
39,"Y",88.90585327148438,true,"39","Y"
40,"Zr",91.2239990234375,true,"40","Zr"
41,"Nb",92.90637969970703,true,"41","Nb"
42,"Mo",95.94000244140625,true,"42","Mo"
43,"Tc",97.9072036743164,false,"43","Tc"
44,"Ru",101.06999969482422,false,"44","Ru"
45,"Rh",102.90550231933594,false,"45","Rh"
46,"Pd",106.41999816894531,false,"46","Pd"
47,"Ag",107.86820220947266,true,"47","Ag"
48,"Cd",112.41100311279297,true,"48","Cd"
49,"In",114.81999969482422,true,"49","In"
50,"Sn",118.70999908447266,true,"50","Sn"
51,"Sb",121.75,true,"51","Sb"
52,"Te",127.5999984741211,true,"52","Te"
53,"I",126.90447235107422,false,"53","I"
54,"Xe",131.2899932861328,false,"54","Xe"
55,"Cs",132.90542602539062,true,"55","Cs"
56,"Ba",137.32699584960938,true,"56","Ba"
57,"La",138.90550231933594,true,"57","La"
58,"Ce",140.11500549316406,true,"58","Ce"
59,"Pr",140.90765380859375,true,"59","Pr"
60,"Nd",144.24000549316406,true,"60","Nd"
61,"Pm",144.91270446777344,false,"61","Pm"
62,"Sm",150.36000061035156,true,"62","Sm"
63,"Eu",151.96499633789062,false,"63","Eu"
64,"Gd",157.25,true,"64","Gd"
65,"Tb",158.9253387451172,true,"65","Tb"
66,"Dy",162.5,true,"66","Dy"
67,"Ho",164.93031311035156,false,"67","Ho"
68,"Er",167.25999450683594,true,"68","Er"
69,"Tm",168.9342041015625,false,"69","Tm"
70,"Yb",173.0399932861328,true,"70","Yb"
71,"Lu",174.9669952392578,false,"71","Lu"
72,"Hf",178.49000549316406,true,"72","Hf"
73,"Ta",180.94790649414062,true,"73","Ta"
74,"W",183.85000610351562,true,"74","W"
75,"Re",186.20700073242188,false,"75","Re"
76,"Os",190.1999969482422,false,"76","Os"
77,"Ir",192.22000122070312,false,"77","Ir"
78,"Pt",195.0800018310547,false,"78","Pt"
79,"Au",196.96653747558594,false,"79","Au"
80,"Hg",200.58999633789062,false,"80","Hg"
81,"Tl",204.38330078125,true,"81","Tl"
82,"Pb",207.1999969482422,true,"82","Pb"
83,"Bi",208.98037719726562,true,"83","Bi"
84,"Po",208.98240661621094,false,"84","Po"
85,"At",209.9871063232422,false,"85","At"
86,"Rn",222.01759338378906,false,"86","Rn"
87,"Fr",223.0196990966797,false,"87","Fr"
88,"Ra",226.02540588378906,false,"88","Ra"
89,"Ac",227.02780151367188,false,"89","Ac"
90,"Th",232.03810119628906,false,"90","Th"
91,"Pa",231.03590393066406,false,"91","Pa"
92,"U",238.02890014648438,false,"92","U"
93,"Np",237.04820251464844,false,"93","Np"
94,"Pu",244.06419372558594,false,"94","Pu"
95,"Am",243.0614013671875,false,"95","Am"
96,"Cm",247.07029724121094,false,"96","Cm"
97,"Bk",247.07029724121094,false,"97","Bk"
98,"Cf",251.07960510253906,false,"98","Cf"
99,"Es",252.08299255371094,false,"99","Es"
100,"Fm",257.0950927734375,false,"10","Fm"
101,"Md",258.1000061035156,false,"10","Md"
102,"No",259.10089111328125,false,"10","No"
103,"Lr",262.1099853515625,false,"10","Lr"
104,"Db",261.1099853515625,false,"10","Db"
105,"Jl",262.114013671875,false,"10","Jl"
106,"Rf",263.1180114746094,false,"10","Rf"
107,"Bh",262.1199951171875,false,"10","Bh"
108,"Hn",264,false,"10","Hn"
109,"Mt",266,false,"10","Mt"
110,"Un",269,false,"11","Un"
111,"Uu",272,false,"11","Uu"
