"name","idf","Unit","K","PTip","UName","KName","Format","GUnit","GUName","GK","GKName"
"Thermal diffusivity","DIF","cm2/s","1E3","TDI","cmÂ/s",,,,,,
"Time","TIM","h",,"TIM","h",,,,,,
"Thermal expansion coefficient","TEC","K^-1","1E7","TEC","K¬Á",,,"K^-1","K¬Á","1E7",
"Thermal conductivity","THC","cal/cm.s.K",,"THC","cal/(cm·s·K)",,,"W/m.K","W/(m·K)","1",
"Activation energy","ACE","kcal/mole",,"ACE","kcal/mol",,,,,,
"Density","DEN","g/cm3",,"DEN","g/cmÃ",,,"g/cm3","g/cmÃ","1",
"Pressure","PRE","kg/cm2",,"PRE","kg/cmÂ",,,,,,
"Wavelength","WAV","Micronm",,"WAV","õm",,,,,,
"Heating/cooling rate","TRT","K/s",,"TRT","K/s",,,,,,
"Heat capacity","HTC","J/g-atom.K",,"HTC","J/(g-atom·K)",,,"J/g-atom.K","J/(g-atom·K)","1",
"Enthalpy","ENT","kJ/g-atom",,"ENT","kJ/g-atom",,,,,,
"Frequency","FRQ","Hz",,"FRQ","Hz",,,,,,
"Diffusion coefficient","DIF","m2/s",,"DIF","mÂ/s",,,,,,
"Sound velocity","VEL","m/s",,"SVE","m/s",,,,,,
"Optical dispersion","NNN",,"1E4","NNN",,,,,,"1E4",
"Surface tension","SUT","mJ/m2",,"SUT","mJ/mÂ",,,"mJ/m2","mJ/mÂ","1",
"Viscosity","VIS","P",,"VIS","P",,,"P","P",,
"Temperature","TMP","K",,"TMP","K",,,"oC","°C","1",
"Absorption coefficient","ABS","dB/cm",,"ABS","dB/cm",,,,,,
"Elastic moduli","MDU","GPa",,"MDU","GPa",,,"GPa","GPa","1",
"Heat of solution","ENT","J/mol",,"HSL","J/mol",,,,,,
"Stress-optic coefficient","SOC","Brewster",,"SOC","Brewster",,,,,,
"Strength","MDU","GPa",,"STR","GPa",,,,,,
"Fracture toughness","FRT","N/m3/2",,"FRT","N/mÃÑÂ",,,,,,
"Electrical resistivity","ELR","Ohm.cm",,"ELR","Ohm·cm",,,"Ohm.cm","Ohm·cm","1",
"Electrical conductivity","ELC","Ohm^-1.cm^-1",,"ELC","Ohm¬Á·cm¬Á",,,,,,
"Specific volume","SPV","cm3/mol",,"SPV","cmÃ/mol",,,"cm3/g","cmÃ/g","1",
"Compressibility","CMP","m2/N",,"CMP","mÂ/N",,,,,,
"Pressure coef. of sound veloc.","PCV","km/s.GPa",,"PCV","km/(s·GPa)",,,,,,
"Length","LEN","nm",,"LEN","nm",,,,,,
"Area","ARE","cm2",,"ARE","cmÂ",,,,,,
"Volume","VOL","cm3",,"VOL","cmÃ",,,,,,
"Crystallization rate","VEL","cm/s",,"CRT","cm/s",,,"cm/s","cm/s","1",
"Coefficient of gas diffusion","DIF","cm2/s",,"GDI","cmÂ/s",,,,,,
"Evaporation rate","EVR","mg/cm2.h",,"EVR","mg/(cmÂ·h)",,,,,,
"Permittivity of gases","PER","cm3[STP].cm/s.cm2.Pa",,"PER","cm3[STP].cm/s.cm2.Pa",,0,,,,
"Solubility of gases","SOL","cm3[STP]/cm3.Pa",,"SOL","cmÃ[STP]/(cmÃ·Pa)",,0,,,,
"Nucleation velocity","VNU","cm^-3.s^-1",,"VNU","cm¬Ã·s¬Á",,0,"cm^-3.s^-1","cm¬Ã·s¬Á","1",
