"P1","P2","From","QPar","Param","note","NN","To","Idf"
"320yt1in","320ymecn","-log(U_)*Cmol/(d*Ro*10*Cwt)",4,"Cmol  Cwt d Ro",,10,"exp(-10*Cwt*d*Ro*U_/Cmol)","y"
"320yt1in","320yam","-log(U_*16*n*n/(n+1)^4)",1,"n",,2,"exp(-U_)/(16*n*n/(n+1)^4)","y"
"320yt1in","320ymecd","-log10(U_)*Cmol/(d*Ro*10*Cwt)",4,"Cmol  Cwt d Ro",,11,"pow10(-10*Cwt*d*Ro*U_/Cmol)","y"
"320yt1in","320ytm","(1600*n*n/(n+1)^4)*U_",1,"n",,12,"U_/(1600*n*n/(n+1)^4)","y"
"320yt1in","320yain","-log(U_)",0,,,1,"exp(-U_)","y"
"320yt1in","320ydm","-log10(U_*16*n*n/(n+1)^4)",1,"n",,4,"pow10(-U_)/(16*n*n/(n+1)^4)","y"
"320yt1in","320yt1in","U_",0,,,15,"U_","y"
"320yt1in","320ydin","-log10(U_)",0,,,3,"pow10(-U_)","y"
"320yt1in","320yt1m","(16*n*n/(n+1)^4)*U_",1,"n",,13,"U_/(16*n*n/(n+1)^4)","y"
"320yt1in","320ydbkm","-1000000*log10(U_)/d",1,"d",,8,"pow10(-d*U_/1000000)","y"
"320yt1in","320ytin","U_*100",0,,,14,"U_/100","y"
,"320xcm","10000/U_",,,,1,"10000/U_","x"
,"320xcm3","10/U_",,,,2,"10/U_","x"
,"320xev","1.2398/U_",,,,3,"1.2398/U_","x"
,"320xllm","log10(U_)",,,,4,"pow10(U_)","x"
,"320xlm","U_",,,,5,"U_","x"
,"320xln","U_*1000",,,,6,"0.001*U_","x"
"320yt1in","320ynk","-log(U_)/d",1,"d",,5,"exp(-d*U_)","y"
"320yt1in","320ynlk","log10(-log(U_)/d)",1,"d",,6,"exp(-d*pow10(U_))","y"
"320yt1in","320ynalf","-log10(U_)/d",1,"d",,7,"pow10(-d*U_)","y"
"320yt1in","320ynlalf","log10(-log10(U_)/d)",1,"d",,9,"pow10(-d*pow10(U_))","y"
"320yt1in","320yecd","-log10(U_)/(Cwt*d)",4,"Cwt  d",,9,"pow10(-Cwt*d*U_)","y"
"320yt1in","320yecn","-log(U_)/(Cwt*d)",4,"Cwt  d",,8,"exp(-Cwt*d*U_)","y"
,"320xlln","log10(U_)",,,,,"pow10(U_)","x"
