"Index","name_eng","name_rus","Flag"
100,"Density","ïëîòíîñòü, óäåëüíûé âåñ",1
130,"TEC","òåïëîâîå ðàñøèðåíèå",1
180,"Thermal endurance","òåðìîñòîéêîñòü",1
200,"Heat capacity","òåïëîåìêîñòü",1
220,"Thermal conductivity","òåïëîïðîâîäíîñòü",1
300,"Optical properties","ïîêàçàòåëü ïðåëîìëåíèÿ",1
400,"Viscosity","âÿçêîñòü",1
410,"Visc. standard points","õàðàêòåðèñòè÷åñêèå òåìïåðàòóðû âÿçêîñòè",1
420,"T†","òåìïåðàòóðà ñòåêëîâàíèÿ",1
440,"M†","äèëàòîì. ò-ðà ðàçìÿã÷åíèÿ, ò-ðà íà÷àëà äåôîðìàöèè",1
500,"Elastic properties","óïðóãèå ñâîéñòâà",1
516,"Srtess-optic coef.","ôîòîóïðóãàÿ ïîñòîÿííàÿ, ÎÊÍ",1
518,"Acoustical properties","àêóñòè÷åñêèå ñâîéñòâà",1
520,"Internal friction","âíóòðåííåå òðåíèå",1
530,"Microhardness","ìèêðîòâåðäîñòü",1
540,"Strength","ïðî÷íîñòü",1
560,"Surface tension","ïîâåðõíîñòíîå íàòÿæåíèå",1
600,"Chemical durability","õèìè÷åñêàÿ óñòîé÷èâîñòü",1
700,"Electrical resistivity","óäåëüíîå ýëåêòðîñîïðîòèâëåíèå",1
730,"Dielectric properties","äèýëåêòðè÷åñêèå õàðàêòåðèñòèêè",1
800,"Ion diffusion","äèôôóçèÿ èîíîâ",1
830,"Diff., permeat., & solub. of gases","äèôôóçèÿ è ð-ðèìîñòü ãàçîâ, ïðîíèöàåìîñòü ê ãàçàì",1
900,"Glass formation","ñòåêëîîáðàçîâàíèå",1
950,"Crystallization","êðèñòàëëèçàöèÿ",1
954,"T‹ˆœ","òåìïåðàòóðà ëèêâèäóñà",1
990,"Volatilization","óëåòó÷èâàíèå",1
230,"Thermal diffusivity","òåìïåðàòóðîïðîâîäíîñòü",1
890,"Magnetic properties","Ìàãíèòíûå ñâîéñòâà",1
320,"Optical spectra","îïòè÷åñêèå ñïåêòðû",1
